baseMean,log2FoldChange,lfcSE,pvalue,padj
ADORA2A,197.661506145474,2.34127994777473,0.249336794266999,1.91722643894087e-22,2.20911593311251e-21
ADRA2C,0.964664303003614,2.11725501734905,0.822532445839987,0.00044890907190055,0.00094524042046958
ADRB3,2.63716490657169,2.87778415276534,0.894693218643097,1.68235996315018e-05,4.30792804953786e-05
AEBP1,39.8978827766836,2.24173701296176,0.307710977054174,1.18979987496097e-14,7.39439216911085e-14
AFF2,92.6104025407639,2.81063499912067,0.302369393969137,2.78792067778992e-22,3.17669994931712e-21
AGBL3,18.7550243962987,3.52565342415832,0.496369338382738,1.00236523519437e-14,6.26523164742593e-14
AGER,102.018212175511,2.11151381648391,0.267591076465238,1.39239446581296e-16,1.01675686295969e-15
AGRN,21.2265321598119,2.33471428690734,0.226756879866062,2.37072435984266e-26,3.72588166283381e-25
AIFM3,7.92666861222899,2.9669224155938,0.379260597975228,8.00324165781503e-17,5.95887967224e-16
AJM1,20.4540771171113,3.68847390460326,0.272877388153906,9.70834105246142e-44,4.92331423430783e-42
AK1,4.90232409519842,4.60940018336031,0.633960025290165,1.54561903537071e-15,1.03864884715108e-14
AKIRIN2,2123.96492129009,3.3231495350265,0.287339727250576,7.24552885812933e-33,1.81346127589765e-31
AKNA,2778.88271384411,2.01830590435281,0.136457557937996,9.21186409182994e-51,7.4055746120725e-49
ALAS2,18.8840884481375,2.41048013799211,0.709324190990992,1.85005913104667e-05,4.71294999140027e-05
ALDH1L1,3.77910800275786,2.45611676247203,0.595775581387274,9.66509007943889e-07,2.84425601274985e-06
ALDOA,5604.18205997166,2.63420598305773,0.192902133638508,4.41582020350939e-44,2.27911193639708e-42
ALOX5,18.0921142271741,2.3883802539159,0.449277823259068,3.10057685045211e-09,1.1869555224081e-08
ALOX5AP,543.567667623497,3.81637803778993,0.47926267605475,1.06695091921663e-17,8.47970787504974e-17
ALPK1,495.862859142685,2.37083536191321,0.26376358175982,7.68753892367467e-21,7.81977355822184e-20
ALPK3,1143.75001789768,2.01896495605184,0.145982731029195,9.18142915006275e-45,5.06867188363433e-43
ALPL,497.642891189928,5.09296744883644,0.413351204315403,4.10919224161309e-37,1.36803165372024e-35
AMELX,1.34776977972035,2.04159434140847,0.853994866309191,0.000853477506593028,0.00172006875029059
AMH,3.06813095030514,2.41736063901204,0.562563041012275,4.76984995370068e-07,1.45243554620891e-06
AMOTL2,0.958719925431414,2.30752863564653,0.815357370129659,0.00014828719622663,0.000334134608392347
AMPD1,4.88654726351623,2.67298824072274,0.389270120494558,1.35432411403219e-13,7.69582546230998e-13
AMPD3,1566.18797150138,5.42163212605655,0.391612234394814,1.16455622959445e-45,6.79454295159704e-44
