baseMean,log2FoldChange,lfcSE,pvalue,padj
MSTRG.12348,2.01771287536464,2.8911404565924,0.731317440737128,7.98387852633148e-07,4.90121431755349e-06
MSTRG.12352,53.3219437780161,8.01194584865544,0.835141153854388,4.20661279767472e-25,5.09100305966205e-23
MSTRG.1236,1.32276053813501,2.79252150397744,0.725534571620104,1.34367628417744e-06,7.83583140969329e-06
MSTRG.12365,8.14781475004182,2.27994137298645,0.284150937291247,2.3561114007317e-17,9.57132007985552e-16
MSTRG.1237,4.14159877501567,4.29594052315708,0.844293906168156,1.95596488062383e-09,2.04950455961762e-08
MSTRG.12374,22.2636282680305,2.25209687972383,0.244034141035611,6.59884875501855e-22,5.01561842568363e-20
MSTRG.1240,9.00848993312426,4.46467910198742,1.07923145023716,1.12082265074259e-07,8.18848944840044e-07
MSTRG.1241,7.54180129625079,4.85971499470817,0.760767688883399,8.82719493145114e-13,1.72488733634084e-11
MSTRG.12461,6.79704151823619,3.63744443225216,0.583691684269261,4.37668684911269e-12,7.56047553238396e-11
MSTRG.12514,179.485576044759,3.33020166741316,0.418231495289079,2.01235633676829e-17,8.29923509922372e-16
MSTRG.12531,10.8502122412303,2.29000355510532,0.418997506374642,1.02259762025881e-09,1.13801066311452e-08
MSTRG.12635,8.94417790988298,2.31637292019908,0.475615531649388,2.35842611495868e-08,1.98886436206304e-07
MSTRG.12652,17.3849695230899,2.72468048123997,0.421485104261965,1.41810309855448e-12,2.68337572822799e-11
MSTRG.12703,21.9584771146513,6.10905624635194,0.733121540817945,1.96625793564392e-19,1.10589090864488e-17
MSTRG.12711,1.62890403750927,2.00921565324868,0.864293461863007,0.000688870537791317,0.00207099153842571
MSTRG.12713,35.3122250358758,3.19795171575159,0.484524359152047,4.58545311067551e-13,9.44594049100856e-12
MSTRG.12716,5.53470736481757,2.60693561133889,0.523668654632228,9.41037175981e-09,8.64775948567037e-08
MSTRG.12758,4.04853182039802,3.53387550868744,0.539503033925437,5.84984999009229e-13,1.18407372540888e-11
MSTRG.12790,3.86962955178714,3.75945833801396,0.657025959819889,8.79905065020382e-11,1.19907706313635e-09
MSTRG.12793,2.08696540814752,3.03068101987834,0.915979929678215,7.71590249822894e-06,3.77977905298135e-05
MSTRG.12798,5.50318342432434,2.14000018312643,0.333404986022445,3.90382512546497e-12,6.80142009005602e-11
MSTRG.12851,3.10526696244958,2.38098684427303,0.83087436014883,7.66186051680943e-05,0.000294955880010924
MSTRG.12858,12.5110110756635,2.61309948548909,0.466856032073468,3.24484896333623e-10,4.0008653197424e-09
MSTRG.12889,1.14744908160811,2.18432881841214,0.76167554257539,0.000106120130715241,0.000394196491769853
MSTRG.12890,2.49261578425502,3.06054755942504,0.640507342369922,1.75413199610261e-08,1.52186950052308e-07
MSTRG.12893,4.64886296941636,2.67778300713383,0.420944918540717,2.88383854034705e-12,5.18198897059975e-11
MSTRG.12978,8.32982653625503,4.1186946667869,0.519947350666377,2.35509670594132e-17,9.57132007985552e-16
MSTRG.13076,10.2284499035649,5.33449048598118,0.725712931648644,8.35881989353851e-16,2.67429624036861e-14
MSTRG.13098,4.99422735540024,4.20490969035806,0.386512374867403,1.68896659101485e-29,3.20935221761813e-27
MSTRG.13099,2.44694486634866,2.58627246315018,0.600184650275629,2.39653819689977e-07,1.63979184315552e-06
MSTRG.13112,1327.86735699329,4.93739719825678,0.381229734157475,1.8240703117308e-40,1.1238484114579e-37
MSTRG.13116,10.2175378323464,2.81313445645644,0.446555765114783,3.88783591308342e-12,6.78228054781742e-11
